,Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
43,Hot Fuzz,2007,91,97.735,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,A top London cop who is so good at his job that he makes his fellow officers look like slackers...,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Steve Coogan"
44,The Warriors,1979,89,91.969,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.","Walter Hill's hip, super-stylized action film unfurls in a dystopian near-future, when various gangs control New York City. Each gang...",Walter Hill,"Michael Beck, James Remar, Thomas G. Waites, Dorsey Wright"
45,Starship Troopers,1997,64,67.609,A fun movie...if you can accept the excessive gore and wooden acting.,"Paul Verhoeven has fashioned a visually spectacular, morbidly funny comic book adventure that seems to merge the fresh-faced youths of...",Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"
46,Elite Squad: The Enemy Within,2011,93,93.574,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.","The sprawling slum that towers over Rio de Janeiro is one of the most dangerous places on Earth, and as...",José Padilha,"Wagner Moura, André Mattos, Sandro Rocha, Maria Ribeiro"
47,Point Break,1991,69,73.175,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.",Kathryn Bigelow's fourth action film follows FBI agent Johnny Utah (Keanu Reeves) as he goes undercover to infiltrate a cache...,Kathryn Bigelow,"Keanu Reeves, Patrick Swayze, Gary Busey, Lori Petty"
48,The Long Kiss Goodnight,1996,69,71.658,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",The comfortably drab life of a working mom becomes a nightmare when she finds herself pursued by an assassin who...,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko"
49,The Guest,2014,91,94.953,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard.","From the director of YOU'RE NEXT and featuring a standout, badass performance from Dan Stevens (""Downton Abbey""), comes THE GUEST:...",Adam Wingard,"Dan Stevens, Leland Orser, Lance Reddick, Sheila Kelley"
50,Taken,2009,58,63.301,"Taken is undeniably fun with slick action, but is largely a brainless exercise.",An ex-soldier (Liam Neeson) traveling through Europe embarks on a frantic quest to rescue his daughter (Maggie Grace) after the...,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Xander Berkeley"
51,300,2007,60,67.84,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.",Sin City author Frank Miller's sweeping take on the historic Battle of Thermopylae comes to the screen courtesy of Dawn...,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Rodrigo Santoro"
52,True Lies,1994,70,72.832,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain.","Borrowing liberally from the French film La Totale, this is an action picture, domestic comedy, and political thriller rolled into...",James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"
