,Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
95,Minority Report,2002,90,97.342,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.","Based on a short story by the late Philip K. Dick, this science fiction-thriller reflects the writer's familiar preoccupation with...",Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
96,Avengers: Endgame,2019,94,117.455,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",The grave course of events set in motion by Thanos that wiped out half the universe and fractured the Avengers...,Anthony Russo,"Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans"
97,Dredd,2012,79,84.662,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.","The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega...",Pete Travis,"Karl Urban, Olivia Thirlby, Wood Harris, Lena Headey"
98,The Bourne Identity,2002,83,88.315,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.","The best-selling suspense novel by late author Robert Ludlum comes to the screen for a second time, following a 1988...",Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen"
99,Ip Man,2010,85,77.772,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.","Wing Chun grandmaster Ip has an amazing wife, plenty of money, the most beautiful house in town, and a blossoming...",Wilson Yip,"Donnie Yen, Hiroyuki Ikeuchi, Simon Yam, Xiong Dailin"
100,Face/Off,1997,92,97.193,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.","The third of John Woo's American-made feature films, Face/Off stars John Travolta as Sean Archer, an FBI agent obsessed with...",John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
101,To Live and Die in L.A.,1985,91,93.044,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.","William Friedkin's crime thriller, based on a book by U.S. Secret Service agent Gerald Petievich, concerns an arrogant Secret Service...",William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer"
102,The Dark Knight,2008,94,107.207,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","Christopher Nolan steps back into the director's chair for this sequel to Batman Begins, which finds the titular superhero coming...",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal"
103,Mission: Impossible Ghost Protocol,2011,93,100.605,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.",This is not just another mission. The IMF is shut down when it's implicated in a global terrorist bombing plot....,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
104,Fast Five,2011,77,82.961,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.",Former cop Brian O'Conner (Paul Walker) partners with ex-con Dom Toretto (Vin Diesel) on the opposite side of the law....,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Dwayne Johnson"
105,Lethal Weapon,1987,80,84.306,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.","L.A. cop Martin Riggs (Mel Gibson), whose wife has recently died, is a loose cannon with a seeming death wish....",Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Darlene Love"
106,The Rock,1996,66,69.335,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.","The sophomore film from former music video and commercial director Michael Bay, this fast-paced action yarn featured rapid-fire editing, a...",Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"
107,RoboCop,1987,89,94.253,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.","In near-future Detroit, a murdered police officer is resurrected as an experimental crime-fighting cyborg named Robocop. Tormented by memories of...",Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith"
108,John Wick: Chapter 2,2017,89,100.345,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.","In this next chapter following the 2014 hit, legendary hitman John Wick (Keanu Reeves) is forced back out of retirement...",Chad Stahelski,"Keanu Reeves, John Leguizamo, Bridget Moynahan, Thomas Sadoski"
109,Casino Royale,2006,95,103.965,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.","James Bond's first 007 mission takes him to Madagascar, where he is to spy on a terrorist Mollaka. Not everything...",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
110,Baby Driver,2017,93,109.255,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.","A talented, young getaway driver (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in...",Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"
111,Fist of Legend (Jing wu ying xiong),1994,100,76.649,No consensus yet.,"Jet Li stars in this historical Hong Kong action film, as Chen Zhen, a Chinese student in Japan in the...",Gordon Chan,"Jet Li, Paul Chiang, Yasuaki Kurata, Shinobu Nakayama (II)"
112,The Killer,1989,98,100.613,The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.,"Chow Yun-Fat, director John Woo's favorite actor, stars as a professional assassin. The moral outrages of his employers lead Yun-Fat,...",John Woo,"Yun-Fat Chow, Sally Yeh, Danny Lee, Kenneth Tsang"
113,The Raid 2,2014,81,87.386,"Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor.",He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a...,Gareth Evans,"Iko Uwais, Yahan Ruhian, Arifin Putra, Oka Antara"
114,Enter the Dragon,1973,94,98.702,"Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song.","One of the most popular kung fu films ever, and perhaps the peak of the famed Bruce Lee's career, Enter...",Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Shih Kien"
115,Commando,1985,71,73.044,"The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners.",Colonel Matrix (Arnold Schwarzenegger) is retired and living peaceably with his 10-year-old daughter (Alyssa Milano) when she is kidnapped by...,Mark L. Lester,"Arnold Schwarzenegger, Alyssa Milano, Rae Dawn Chong, Dan Hedaya"
116,First Blood,1982,85,88.951,"Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.",A former Green Beret must use all of the guerrilla tactics he learned in Vietnam to save himself after he...,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
117,Mission: Impossible Rogue Nation,2015,93,105.281,Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,"With the IMF disbanded, and Ethan (Tom Cruise) out in the cold, the team now faces off against a network...",Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Ving Rhames, Simon Pegg"
118,The Terminator,1984,100,104.893,"With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.","A Cyborg has been sent from the future on a deadly mission, it has been programmed to kill a young...",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
119,Gladiator,2000,77,84.268,Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.,"A man robbed of his name and his dignity strives to win them back, and gain the freedom of his...",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
120,Kill Bill: Volume 1,2003,85,91.909,Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.,An entire wedding party is slaughtered during a dress rehearsal in a rural chapel: the pregnant woman in the blood-splattered...,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine"
121,Léon: The Professional,1994,73,76.906,Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.,"As visually stylish as it is graphically violent, this thriller directed by Luc Besson concerns Mathilda (Natalie Portman), a 12-year-old...",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
122,Speed,1994,94,97.982,"A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.","If you don't think Speed is the fastest-moving adventure film ever made, we challenge you to find a faster one....",Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
123,The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),1994,83,87.749,Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.,Jackie Chan returns in one of his greatest roles in this action-comedy sequel to his 1978 Hong Kong blockbuster Drunken...,Lau Kar-Leung,"Jackie Chan, Siu Tin Yuen, Jang Lee Hwang, Kau Lam"
124,John Wick,2014,86,94.254,"Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.",An ex-hitman comes out of retirement to track down the gangsters that took everything from him. With New York City...,David Leitch,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki"
125,"Crouching Tiger, Hidden Dragon",2001,97,101.991,"The movie that catapulted Ang Lee into the ranks of upper echelon Hollywood filmmakers, Crouching Tiger, Hidden Dragon features a deft mix of amazing martial arts battles, beautiful scenery, and tasteful drama.",Taiwanese filmmaker Ang Lee took a break from making Western period dramas to fashion this wild and woolly martial arts...,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang"
126,Predator,1987,81,84.548,"Predator: Part sci-fi, part horror, part action -- all muscle.","Dutch (Arnold Schwarzenegger) has a code of honor which he will not violate, even when his life depends on it....",John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke"
127,The Bourne Ultimatum,2007,92,101.097,"The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy.",Jason Bourne (Matt Damon) races to solve the mystery of his past while being hunted by members of the very...,Paul Greengrass,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn"
128,Total Recall,1990,82,86.771,"Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks.","In Paul Verhoeven's wild sci-fi action movie Total Recall, Arnold Schwarzenegger plays a 21st-century construction worker who discovers that his...",,"Robert Picardo, Chuck Sloan, Dave Nicolson, Anne Lockhart"
129,Mad Max 2: The Road Warrior,1982,93,96.843,"The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber.",Director George Miller's follow-up to his own 1979 hit Mad Max is proof that not all sequels are inferior to...,George Miller,"Mel Gibson, Bruce Spence, Vernon Wells, Emil Minty"
130,Heat,1995,86,91.247,"Though Al Pacino and Robert De Niro share but a handful of screen minutes together, Heat is an engrossing crime drama that draws compelling performances from its stars -- and confirms Michael Mann's mastery of the genre.","A successful career criminal considers getting out of the business after one last score, while an obsessive cop desperately tries...",Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
131,The Raid: Redemption,2012,86,91.702,"No frills and all thrills, The Raid: Redemption is an inventive action film expertly paced and edited for maximum entertainment.","As a rookie member of an elite special-forces team, Rama (Iko Uwais) is instructed to hang back during a covert...",Gareth Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian"
132,Mission: Impossible - Fallout,2018,97,115.581,"Fast, sleek, and fun, Mission: Impossible - Fallout lives up to the ""impossible"" part of its name by setting yet another high mark for insane set pieces in a franchise full of them.",The best intentions often come back to haunt you. MISSION: IMPOSSIBLE - FALLOUT finds Ethan Hunt (Tom Cruise) and his...,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
133,Raiders of the Lost Ark,1981,95,101.343,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.","Indiana Jones (Harrison Ford) is no ordinary archeologist. When we first see him, he is somewhere in the Peruvian jungle...",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
134,Aliens,1986,97,104.034,"While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.","Big-budget special effects, swiftly paced action, and a distinct feminist subtext from writer/director James Cameron turned what should have been...",James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
135,Lat sau san taam (Hard-Boiled),1992,94,96.034,"Boasting impactful action as well as surprising emotional resonance, Hard Boiled is a powerful thriller that hits hard in more ways than one.","Yun-Fat portrays a maverick, clarinet-playing cop nicknamed ""Tequila"" whose partner is killed in the dizzying chaos of a restaurant gunfight...",John Woo,"Yun-Fat Chow, Tony Leung Chiu Wai, Anthony Wong, Teresa Mo"
136,The Matrix,1999,87,93.753,"Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.","What if virtual reality wasn't just for fun, but was being used to imprison you? That's the dilemma that faces...",Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Joe Pantoliano"
137,Terminator 2: Judgment Day,1991,93,99.105,"T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters.","A sequel to the sci-fi action thriller that made him and star Arnold Schwarzenegger A-list Hollywood names, writer/director James Cameron...",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
138,Die Hard,1988,93,98.727,Its many imitators (and sequels) have never come close to matching the taut thrills of the definitive holiday action classic.,"It's Christmas time in L.A., and there's an employee party in progress on the 30th floor of the Nakatomi Corporation...",John McTiernan,"Bruce Willis, Alan Rickman, Reginald VelJohnson, Bonnie Bedelia"
139,Mad Max: Fury Road,2015,97,113.442,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.","Filmmaker George Miller gears up for another post-apocalyptic action adventure with Fury Road, the fourth outing in the Mad Max...",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Rosie Huntington-Whiteley"
